bitmask,channel_names_active,ownership_pct,mean_alpha,solve_time
826,Bequests+Pessimism+Age needs+State utility+Public-care aversion (LTC)+Source-dependent utility (SDU),58.8897,0.424895,15.7
827,SS+Bequests+Pessimism+Age needs+State utility+Public-care aversion (LTC)+Source-dependent utility (SDU),89.7400,0.521209,63.8
828,Medical+R-S+Pessimism+Age needs+State utility+Public-care aversion (LTC)+Source-dependent utility (SDU),38.8264,0.347231,126.5
829,SS+Medical+R-S+Pessimism+Age needs+State utility+Public-care aversion (LTC)+Source-dependent utility (SDU),80.9206,0.481283,490.2
830,Bequests+Medical+R-S+Pessimism+Age needs+State utility+Public-care aversion (LTC)+Source-dependent utility (SDU),38.2642,0.314132,119.6
831,SS+Bequests+Medical+R-S+Pessimism+Age needs+State utility+Public-care aversion (LTC)+Source-dependent utility (SDU),77.8988,0.377561,468.0
832,Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),42.6564,0.409856,15.4
833,SS+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),78.6367,0.739181,65.9
834,Bequests+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),42.6564,0.399652,15.3
835,SS+Bequests+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),78.3204,0.708545,62.6
836,Medical+R-S+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),26.2825,0.235155,123.9
837,SS+Medical+R-S+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),59.4167,0.428602,517.6
838,Bequests+Medical+R-S+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),26.0365,0.221290,116.8
839,SS+Bequests+Medical+R-S+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),58.0112,0.383686,435.4
840,Pessimism+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),38.9318,0.352973,16.7
841,SS+Pessimism+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),59.8735,0.480169,64.1
842,Bequests+Pessimism+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),38.7561,0.321592,14.8
843,SS+Bequests+Pessimism+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),58.0815,0.350520,60.9
844,Medical+R-S+Pessimism+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),23.2607,0.193995,125.5
845,SS+Medical+R-S+Pessimism+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),47.2593,0.299986,509.1
846,Bequests+Medical+R-S+Pessimism+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),22.7688,0.164108,111.9
847,SS+Bequests+Medical+R-S+Pessimism+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),43.0780,0.197604,475.9
848,Age needs+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),41.1806,0.385095,16.1
849,SS+Age needs+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),68.5875,0.598995,65.2
850,Bequests+Age needs+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),41.1806,0.371718,16.7
851,SS+Bequests+Age needs+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),67.3226,0.547006,63.2
852,Medical+R-S+Age needs+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),24.5257,0.212818,124.3
853,SS+Medical+R-S+Age needs+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),52.9515,0.365169,486.7
854,Bequests+Medical+R-S+Age needs+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),24.2797,0.196507,110.6
855,SS+Bequests+Medical+R-S+Age needs+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),50.7379,0.310390,458.9
856,Pessimism+Age needs+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),37.4912,0.328190,16.8
857,SS+Pessimism+Age needs+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),54.4273,0.392885,69.1
858,Bequests+Pessimism+Age needs+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),37.2804,0.289926,16.0
859,SS+Bequests+Pessimism+Age needs+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),50.4919,0.233018,59.9
860,Medical+R-S+Pessimism+Age needs+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),21.9958,0.173169,129.1
861,SS+Medical+R-S+Pessimism+Age needs+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),40.9698,0.235994,514.3
862,Bequests+Medical+R-S+Pessimism+Age needs+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),21.3282,0.139132,114.5
863,SS+Bequests+Medical+R-S+Pessimism+Age needs+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),34.0829,0.119030,477.5
864,State utility+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),42.4455,0.406444,16.1
865,SS+State utility+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),77.9691,0.725938,66.4
866,Bequests+State utility+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),42.4104,0.395126,15.1
867,SS+Bequests+State utility+Loads+Public-care aversion (LTC)+Source-dependent utility (SDU),77.7231,0.692150,65.5
